order_id,user_email,payment_status,payment_method,order_date,total_amount,shipping_address,phone_number
1,jacobssusan@example.net,pending,bank_transfer,2025-04-04 02:42:57,672.18,"2005 Brian Summit, Bishopchester, ME 05424",
2,stephanie05@example.org,paid,bank_transfer,2025-03-23 22:17:11,674.09,"8964 Manning Square, Nicolebury, AS 51941",
3,ryandarren@example.net,refunded,cash,2025-03-15 09:03:12,84.7,"880 Wilson Lake Suite 574, North Christopherfurt, KY 27709",
4,iwilliams@example.org,paid,paypal,2025-04-04 08:15:24,384.81,"811 Newton Burg, Jonestown, FL 59789",
5,calvin65@example.com,failed,credit_card,2025-04-06 03:34:32,54.54,"147 Rhonda Union, Lake Davidfurt, MO 38993",
6,lpearson@example.com,failed,cash,2025-03-19 10:37:04,408.17,"15838 Hernandez Brooks Suite 961, Nelsonshire, IA 43650",
7,jordanjamie@example.com,pending,cash,2025-03-23 00:00:21,597.62,"8344 April Overpass, Lisamouth, IN 33320",
8,laurawilliams@example.net,paid,cash,2025-04-04 01:22:15,930.88,"8833 David Harbors, Dominiqueton, IN 79135",
9,crystalgonzalez@example.com,refunded,bank_transfer,2025-03-31 04:52:22,961.44,"840 Jessica Shoals, Victorside, MO 82291",
10,josephpatterson@example.com,paid,cash,2025-04-13 23:06:25,460.62,"667 William Plains Suite 455, Gregorymouth, SD 90346",
11,stephanie05@example.org,pending,cash,2025-03-29 07:00:15,490.11,"USNV Smith, FPO AA 50633",
12,ryandarren@example.net,paid,bank_transfer,2025-04-05 01:12:07,40.38,"133 Bennett Cove Apt. 140, New Connor, MA 43797",
13,cindy86@example.org,failed,cash,2025-03-16 16:15:36,806.93,"7360 Jason Square, Tinaport, AL 91641",
14,kwarner@example.com,refunded,credit_card,2025-03-26 20:31:25,977.99,"62697 Hoffman Parkway, Michaelberg, OR 86935",
15,dwyatt@example.com,paid,credit_card,2025-04-05 08:39:52,843.72,"0826 Lee Park Apt. 779, Youngbury, DC 89747",
16,nguyenbrianna@example.com,pending,credit_card,2025-03-26 05:59:59,222.53,"815 Margaret Freeway Apt. 745, Marybury, NE 51894",
17,chavezstephanie@example.org,failed,bank_transfer,2025-03-30 03:12:16,543.86,"485 Karen Port Apt. 256, Lake Sandra, AL 47641",
18,gregoryjones@example.org,failed,credit_card,2025-03-15 05:20:45,145.6,"468 Hamilton Neck Apt. 401, South Trevorchester, CT 59485",
19,amy33@example.org,pending,bank_transfer,2025-03-14 23:46:09,94.6,"8315 Tiffany Stream Suite 516, Lake Crystalville, MS 19394",
20,julie11@example.com,failed,paypal,2025-03-29 07:52:22,406.53,"1637 Darren Club, Reyesfurt, ME 76103",
21,george45@example.net,paid,credit_card,2025-04-06 12:00:46,170.38,"529 Thompson Grove, Port Jason, KY 23763",
22,piercerichard@example.org,paid,paypal,2025-04-05 22:19:43,1003.61,"USCGC Hart, FPO AA 68472",
23,xgraham@example.org,refunded,paypal,2025-03-20 18:08:53,417.62,"66151 John Groves, North Peterborough, PA 98125",
24,ryandarren@example.net,pending,paypal,2025-04-01 13:02:00,175.88,"627 Troy Cliff Apt. 783, East Luis, HI 19146",
25,ryandarren@example.net,failed,paypal,2025-03-19 11:55:10,335.76,"USNV Thomas, FPO AE 19580",
26,jacobssusan@example.net,paid,cash,2025-04-11 08:34:08,367.38,"USNV Kelly, FPO AP 60731",
27,jacobssusan@example.net,paid,credit_card,2025-04-02 20:15:58,265.77,"1392 Lindsey Villages Apt. 972, East Ricardoborough, NM 02091",
